Address,Country,Flipped_Lat,Flipped_Lng,ISO2,ISO3,Index,Latitude,Location,Longitude,Poly_Ctry,Poly_ISO2,Poly_ISO3,Recorded_Lat,Recorded_Lng,Region,Type,geometry,ver_Index
"Halhale, Eritrea",Eritrea,15.0,39.0,ER,ERI,273,15.0,Halhale,39.0,Eritrea,ER,ERI,15.0,39.0,Eastern and Southern Africa,Original,POINT (39 15),
"Santa Cruz, El Salvador, El Salvador",El Salvador,13.33,-88.83,SV,SLV,269,13.33,"Santa Cruz, El Salvador",-88.83,El Salvador,SV,SLV,13.33,-88.83,Central America and Caribbean,Original,POINT (-88.83 13.33),
"Santa Cruz (2), El Salvador",El Salvador,13.33,-88.83,SV,SLV,1243,13.33,Santa Cruz (2),-88.83,El Salvador,SV,SLV,13.33,-88.83,Central America and Caribbean,Original,POINT (-88.83 13.33),245.0
"Ahuachapan, El Salvador",El Salvador,13.92,-89.85,SV,SLV,244,13.92,Ahuachapan,-89.85,El Salvador,SV,SLV,13.92,-89.85,Central America and Caribbean,Original,POINT (-89.84999999999999 13.92),
"Ethiopia, Ethiopia",Ethiopia,7.71099,42.53906,ET,ETH,283,7.71099,Ethiopia,42.53906,Ethiopia,ET,ETH,7.71099,42.53906,Eastern and Southern Africa,Original,POINT (42.53906 7.71099),
"Alemaya, Ethiopia",Ethiopia,9.5,41.95,ET,ETH,1416,9.5,Alemaya,41.95,Ethiopia,ET,ETH,9.5,41.95,Eastern and Southern Africa,Original,POINT (41.95 9.5),253.0
"Awassa, Ethiopia",Ethiopia,7.05,38.47,ET,ETH,280,7.05,Awassa,38.47,Ethiopia,ET,ETH,7.05,38.47,Eastern and Southern Africa,Original,POINT (38.47 7.05),255.0
"Jimma, Ethiopia",Ethiopia,7.67,36.83,ET,ETH,286,7.67,Jimma,36.83,Ethiopia,ET,ETH,7.67,36.83,Eastern and Southern Africa,Original,POINT (36.83 7.67),
"Kulumsa, Ethiopia",Ethiopia,8.0,39.15,ET,ETH,289,8.0,Kulumsa,39.15,Ethiopia,ET,ETH,8.0,39.15,Eastern and Southern Africa,Original,POINT (39.15 8),
"Ziway, Ethiopia",Ethiopia,8.0,38.83,ET,ETH,297,8.0,Ziway,38.83,Ethiopia,ET,ETH,8.0,38.83,Eastern and Southern Africa,Original,POINT (38.83 8),
"Melkasa, Ethiopia",Ethiopia,8.4,39.33,ET,ETH,290,8.4,Melkasa,39.33,Ethiopia,ET,ETH,8.4,39.33,Eastern and Southern Africa,Original,POINT (39.33 8.4),
"Nazareth, Ethiopia",Ethiopia,8.5,39.5,ET,ETH,292,8.5,Nazareth,39.5,Ethiopia,ET,ETH,8.5,39.5,Eastern and Southern Africa,Original,POINT (39.5 8.5),
"Nazret, Ethiopia",Ethiopia,8.5239,39.2582,ET,ETH,293,8.5239,Nazret,39.2582,Ethiopia,ET,ETH,8.5239,39.2582,Eastern and Southern Africa,Original,POINT (39.2582 8.523899999999999),
"Ambo, Ethiopia",Ethiopia,8.96,38.857,ET,ETH,278,8.96,Ambo,38.857,Ethiopia,ET,ETH,8.96,38.857,Eastern and Southern Africa,Original,POINT (38.857 8.960000000000001),
"Holetta, Ethiopia",Ethiopia,9.05,38.5,ET,ETH,285,9.05,Holetta,38.5,Ethiopia,ET,ETH,9.05,38.5,Eastern and Southern Africa,Original,POINT (38.5 9.050000000000001),
"Bako, Ethiopia",Ethiopia,9.1,37.15,ET,ETH,282,9.1,Bako,37.15,Ethiopia,ET,ETH,9.1,37.15,Eastern and Southern Africa,Original,POINT (37.15 9.1),256.0
