Index,Address,Country,Country_Code,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type,ver_Index
133,"Duitama, 150461, Boyacá, Colombia",Colombia,COL,0.0,Duitama,0.0,5.8277055,-73.0338939,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
134,"El Cerrito, Valle Del Cauca, Colombia",Colombia,COL,3.7,"El Cerrito, Valle Del Cauca",-76.32,3.7,-76.32,South America,correct location data,
135,"Mesetas De El Espinal, 73168, Tolima, Colombia",Colombia,COL,0.0,"El Espinal, Tolima",0.0,3.6461987,-75.3992722,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
136,"El Líbano, Tolima, Colombia",Colombia,COL,0.0,El Libano,0.0,4.9157501,-75.0618177,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
137,"El Naranjal, Cauca, Colombia",Colombia,COL,0.0,El Naranjal,0.0,2.9142726,-76.5053277,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
138,"El Rosario, 176002, Caldas, Colombia",Colombia,COL,0.0,El Rosario,0.0,5.0330087,-75.5690318,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
139,"El Tambor, Resguardo Indigena Gausirumos, Valle del Cauca, Colombia",Colombia,COL,0.0,"El Tambo, Valle Del Cauca",0.0,3.7638803,-76.4861177,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
140,"El Tomate, 054, Antioquia, Colombia",Colombia,COL,0.0,El Tomate,0.0,8.4554247,-76.3655876,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
141,"Fuente de Oro, Meta, Colombia",Colombia,COL,0.0,"Fuente De Oro, Granda",0.0,3.4620439,-73.6174132,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
142,"Garzón, 414020, Huila, Colombia",Colombia,COL,0.0,"Garzon, Huila",0.0,2.1625835,-75.55514449355248,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
143,"Granada, Antioquia, Colombia",Colombia,COL,0.0,Granada,0.0,6.1442998,-75.1844057,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
144,"Rio Guadalajara, 042, Valle del Cauca, Colombia",Colombia,COL,0.0,Guadalajara De Buga,0.0,3.8884715,-76.2593652,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
145,"Caldono, Cauca, Colombia",Colombia,COL,0.0,"Independencia, Caldono",0.0,2.796326,-76.4836526,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
146,"Carrera 21 bis, 576, Bostón, Risaralda, Colombia",Colombia,COL,0.0,"La Catalina, Pereira",0.0,4.8023263,-75.6964439,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
147,"Rio La Granada, 182010, Caquetá, Colombia",Colombia,COL,0.0,"La Cubillera, Granada",0.0,2.2768381,-74.9559382,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
148,"La Palomera, Cauca, Colombia",Colombia,COL,0.0,La Palomera,0.0,2.9537984,-76.4195252,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
149,"12, 12, Puerta Grande, Cauca, Colombia",Colombia,COL,0.0,"La Trocha 12, Granda",0.0,2.2551161,-76.90841105000001,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
150,"La Ulloa Mpio Rivera, Colombia",Colombia,COL,2.62,La Ulloa Mpio Rivera,-75.42,2.62,-75.42,South America,correct location data,
151,"Corcega, Valle del Cauca, Colombia",Colombia,COL,0.0,"La Union, Corcega",0.0,4.5366453,-76.06681,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
152,"Lejania, Huila, Colombia",Colombia,COL,0.0,"Lejania, Granada",0.0,2.7688153,-75.649768,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
153,"Colombia, Colombia",Colombia,COL,0.0,Matazul,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
154,"Menegua, Meta, Colombia",Colombia,COL,0.0,Menegua,0.0,4.0919294,-72.8149621,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
155,"Rio Mondomo, El Arbolito, Cauca, Colombia",Colombia,COL,0.0,"Mondomo, Santander",0.0,2.8606688,-76.5123296,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
