Index,Type,Location,Country,Latitude,Longitude,Recorded_Lat,Recorded_Lng,Address,Country_Code
67,correct location data,Kamboinse,Burkina Faso,12.47,-1.53,12.47,-1.53,"Kamboinse, Burkina Faso",BFA
68,correct location data,Kouare,Burkina Faso,11.916666,-0.166666,11.916666,-0.166666,"Kouare, Burkina Faso",BFA
69,correct location data,Burundi,Burundi,-3.3731,29.9189,-3.3731,29.9189,"Burundi, Burundi",BDI
70,correct location data,Mosso,Burundi,-4.0,30.07,-4.0,30.07,"Mosso, Burundi",BDI
71,correct location data,Beijing,China,40.0,105.0,40.0,105.0,"Beijing, China",CHN
72,correct location data,Bijie,China,27.05,105.23,27.05,105.23,"Bijie, China",CHN
73,correct location data,Chengdu,China,30.67,104.07,30.67,104.07,"Chengdu, China",CHN
74,correct location data,Fujian Province,China,24.5,117.65,24.5,117.65,"Fujian Province, China",CHN
75,correct location data,Guang-xi,China,22.6,108.17,22.6,108.17,"Guang-xi, China",CHN
76,correct location data,Gui-yang,China,26.48,106.65,26.48,106.65,"Gui-yang, China",CHN
77,no lat/lng entered / incorrect lat/lng - geocoded location,Honghe,China,0.0,0.0,23.234737,102.301136,"Honghe County, Yunnan, China",CHN
78,correct location data,"Jialize, Kunming, Yunnan",China,34.16182,105.29297,34.16182,105.29297,"Jialize, Kunming, Yunnan, China",CHN
79,correct location data,Kunming,China,25.12,102.72,25.12,102.72,"Kunming, China",CHN
80,correct location data,Linciang,China,23.7,100.03,23.7,100.03,"Linciang, China",CHN
81,no lat/lng entered / incorrect lat/lng - geocoded location,Mian Yang,China,0.0,0.0,33.1051332,106.686846,"Yangjia River, 723000, Mian, Shaanxi, China",CHN
82,correct location data,Mongzi,China,23.38,103.38,23.38,103.38,"Mongzi, China",CHN
83,correct location data,Nanning,China,22.6,108.17,22.6,108.17,"Nanning, China",CHN
84,correct location data,Oifin,China,25.5,103.8,25.5,103.8,"Oifin, China",CHN
85,correct location data,Qujin,China,25.5,103.67,25.5,103.67,"Qujin, China",CHN
86,correct location data,Simao,China,21.67,101.4,21.67,101.4,"Simao, China",CHN
87,no lat/lng entered / incorrect lat/lng - geocoded location,Wenshan,China,22.47,106.18,23.4191513,104.0896466,"Wenshan City, Yunnan, China",CHN
88,correct location data,Yunnan,China,25.08062,102.68681,25.08062,102.68681,"Yunnan, China",CHN
89,no lat/lng entered / incorrect lat/lng - geocoded location,Aguas Blancas,Colombia,0.0,0.0,6.9003599,-75.7235025,"Aguas Blancas., Antioquia, Colombia",COL
90,no lat/lng entered / incorrect lat/lng - geocoded location,Aguas Claras,Colombia,0.0,0.0,3.6304011,-73.8070253,"Aguas Claras, Meta, Colombia",COL
