,index,location,found_lat,found_lng,matched_location
87,166,"('Puerto Lopez (2)', 'Colombia')",6.4902145,-74.3997197,"Carrera 2, 00000, Puerto Berrío, Antioquia, Colombia"
88,167,"('Quindio, Montenegro', 'Colombia')",4.5664176,-75.7507081,"Montenegro, Quindío, Colombia"
89,168,"('Rivera, Huila', 'Colombia')",2.7779482,-75.2582697,"Rivera, Huila, Colombia"
90,169,"('Roldanillo', 'Colombia')",4.4440112,-76.16639092634387,"Roldanillo, Valle del Cauca, Colombia"
91,170,"('Sabana De Torres, Santander', 'Colombia')",7.3939416,-73.4998859,"Sabana de Torres, Santander, Colombia"
92,171,"('Sahagu', 'Colombia')",8.9103343,-75.4817766,"Loma Grande, Córdoba, Colombia"
93,172,"('San Antonio', 'Colombia')",7.7017427,-75.6206362,"San Antonio, Córdoba, Colombia"
94,173,"('San Barreto', 'Colombia')",12.38051665,-81.6140750764522,"Archipiélago de San Andrés, Providencia y Santa Catalina (Colombia), Colombia"
95,174,"('San Francisco, Sandona', 'Colombia')",1.2991853500000001,-77.47593481408893,"Sandoná, Nariño, Colombia"
96,175,"('San Ignacio, Granada', 'Colombia')",4.6316367,-73.0282731,"San Ignacio, Meta, Colombia"
97,176,"('San Pedro De Uraba', 'Colombia')",8.33372075,-76.34080137233052,"San Pedro de Urabá, 054, Antioquia, Colombia"
98,177,"('San Pelayo', 'Colombia')",8.9572178,-75.8374769,"San Pelayo, Córdoba, Colombia"
99,178,"('San Rafael, Consaca', 'Colombia')",1.1638005,-77.4519397,"San Rafael, Nariño, Colombia"
100,179,"('Sandona, Narino, Fidar', 'Colombia')",1.2991853500000001,-77.47593481408893,"Sandoná, Nariño, Colombia"
101,180,"('Santa Helena', 'Colombia')",5.1187993,-75.1714513,"Santa Helena, Tolima, Colombia"
102,181,"('Santa Lucia', 'Colombia')",6.0537421,-75.9961388,"Santa Lucía, Las Andes, Antioquia, Colombia"
103,182,"('Santander De Quilichao', 'Colombia')",2.99828845,-76.51019933487012,"Santander de Quilichao, Cauca, Colombia"
104,183,"('Segovia', 'Colombia')",7.2775945,-74.62085391976942,"Segovia, Antioquia, Colombia"
105,184,"('Semivalle', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
106,185,"('Sincelejo', 'Colombia')",9.315429349999999,-75.43298059079754,"Sincelejo, 70001, Sucre, Colombia"
107,186,"('Taluma', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
108,187,"('Tierra Alta', 'Colombia')",8.3119698,-75.4425907,"Tierra Alta, Córdoba, Colombia"
109,188,"('Tulenapa', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
110,189,"('Tunja', 'Colombia')",5.5158168,-73.37773195372108,"Tunja, Boyacá, Colombia"
