,COUNT,Country,DAYLENGTH,ELEVATION,ELEV_M,EVAP,ElevM,Flipped_Lat,Flipped_Lng,GRIDCODE,Geocoded_Adr,Geocoded_Lat,Geocoded_Lng,ISO2,ISO3,Irrig_p,LATITUDEdec,LONGITUDEdec,Latitude,LatitudeMin,Location,LocationData,LocationID,LocationIDOld,Longitude,LongitudeMin,MAX_TEMP,MEANTEMP,MEANTEMPRange,MIN_TEMP,MegaEnviron,PRE,Region,SITEID,START,Z_M_RAIN,geometry,grlatitud,grlongitud,latitudNS,longitudEW,minlatitud,minlongitud,oldid
31,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"Gazipur, 1702, Dhaka Division, Bangladesh",23.9980797,90.4229848,,,0.0,0.0,0.0,0.0,,"JOYDEBPUR, GAZIPUR",0.0,37.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2424.0
32,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"Rajbari District, Dhaka Division, Bangladesh",23.73987245,89.57039201261236,,,0.0,0.0,0.0,0.0,,RAJBARI,0.0,39.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,N,E,0.0,0.0,1142.0
33,0.0,BANGLADESH,,0.0,0.0,0.0,0.0,,,0.0,"Jamalpur- Madarganj Rd, 2000, Char Banipakuri, Mymensingh Division, Bangladesh",24.9186204,89.8959517,,,0.0,0.0,0.0,0.0,,"RARS, BARI, JAMALPUR",0.0,40.0,,0.0,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1818.0
34,0.0,BELIZE,,0.0,0.0,0.0,0.0,,,0.0,"Cardinal Avenue, BZ1000, Belmopan, Cayo, Belize",17.2481986,-88.7647713,,,0.0,0.0,0.0,0.0,,"BELMOPAN, CARDI STATION",0.0,41.0,,0.0,,0.0,0.0,,0.0,,0.0,Central America and Caribbean,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1832.0
35,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Bolivia, Bolivia",-17.0568696,-64.9912286,,,0.0,0.0,0.0,0.0,,BOLIVIA,0.0,46.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1665.0
36,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Municipio El Torno, Santa Cruz, Bolivia",-18.0342451,-63.45006110158694,,,0.0,0.0,0.0,0.0,,EL ABRA (SANTA CRUZ),0.0,51.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2245.0
37,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"El Palmar, Santa Cruz, Bolivia",-17.0793079,-64.3090184,,,0.0,0.0,0.0,0.0,,EL PALMAR (SANTA CRUZ),0.0,52.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1828.0
38,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Municipio Entre Ríos, +591, Cochabamba, Bolivia",-17.3054892,-64.44148087663636,,,0.0,0.0,0.0,0.0,,ENTRE RIOS,0.0,54.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1799.0
39,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Fundación Cristo Vive Bolivia, Calle Jose Eduardo Guerra, 447, Calle Jose Eduardo Guerra, Cochabamba, Cochabamba, Bolivia",-17.3462403,-66.1577497,,,0.0,0.0,0.0,0.0,,FUNDACION PROINPA,0.0,55.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1707.0
40,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Parque Regional y Área Natural de Manejo Integrado Lomas de Arena, Camino Nuevo Palmar, Camino Nuevo Palmar, Municipio La Guardia, Santa Cruz, Bolivia",-17.9548566,-63.145631662945014,,,0.0,0.0,0.0,0.0,,LOMAS DE ARENA (SANTA CRUZ),0.0,57.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1853.0
